number area diameter
1 711 19.011823341725076 
2 556 16.777391402856452 
3 749 19.545457092956394 
4 876 21.14079148666263 
5 626 17.861292930145733 
6 768 19.761316284617713 
7 715 19.034124608443967 
8 652 18.260608513799315 
9 827 20.165083811481736 
10 1320 25.99631918816552 
11 654 18.144075042012783 
12 557 16.846784932884628 
13 539 16.54825086797253 
14 882 21.235896746744494 
15 791 20.091315293162083 
16 980 22.3645866257653 
17 561 16.79634534383146 
18 695 18.776060876351565 
19 544 16.522594649647004 
20 694 18.67978727108578 
21 12 2.348419343572078 
22 22 3.3211664858189547 
23 641 17.87316484433797 
24 1168 24.39679676137944 
25 997 21.991578267636218 
26 580 17.003444291670128 
27 637 17.849413119765845 
28 622 17.670257566713502 
29 560 16.580265312423858 
30 672 18.491472402768196 
31 687 18.713822745292664 
